province_name,house_pricing
Alberta / Alberta,400000
British Columbia / Colombie-Britannique,785000
Canada / Canada,472000
Manitoba / Manitoba,304000
New Brunswick / Nouveau-Brunswick,180000
Newfoundland and Labrador / Terre-Neuve-et-Labrador,240000
Northwest Territories / Territoires du Nord-Ouest,352000
Nova Scotia / Nouvelle-Écosse,250000
Nunavut / Nunavut,400000
Ontario / Ontario,700000
Prince Edward Island / Île-du-Prince-Édouard,300000
Quebec / Québec,300000
Saskatchewan / Saskatchewan,300000
Yukon / Yukon,500000
