province,secteur,usage_percent
Alberta,"Agriculture, foresterie, pêche et chasse [11]",1.7
Alberta,"Arts, spectacles et loisirs [71]",6.3
Alberta,Autres services (sauf les administrations publiques) [81],1.7
Alberta,Commerce de détail [44-45],2.7
Alberta,Commerce de gros [41],13.6
Alberta,Construction [23],0.6
Alberta,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",0.3
Alberta,Fabrication [31-33],2.5
Alberta,Finance et assurances [52],9.3
Alberta,Industrie de l'information et industrie culturelle [51],5.7
Alberta,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",11.3
Alberta,Services d'hébergement et de restauration [72],2.3
Alberta,Services immobiliers et services de location et de location à bail [53],11.6
Alberta,"Services professionnels, scientifiques et techniques [54]",11.7
Alberta,Soins de santé et assistance sociale [62],5.2
Alberta,Transport et entreposage [48-49],0.8
British Columbia,"Agriculture, foresterie, pêche et chasse [11]",0.6
British Columbia,"Arts, spectacles et loisirs [71]",8.4
British Columbia,Autres services (sauf les administrations publiques) [81],2.4
British Columbia,Commerce de détail [44-45],4.2
British Columbia,Commerce de gros [41],3.0
British Columbia,Construction [23],2.8
British Columbia,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",2.7
British Columbia,Fabrication [31-33],0.7
British Columbia,Finance et assurances [52],6.2
British Columbia,Industrie de l'information et industrie culturelle [51],36.2
British Columbia,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",9.5
British Columbia,Services d'hébergement et de restauration [72],0.1
British Columbia,Services immobiliers et services de location et de location à bail [53],3.3
British Columbia,"Services professionnels, scientifiques et techniques [54]",7.1
British Columbia,Soins de santé et assistance sociale [62],8.2
British Columbia,Transport et entreposage [48-49],1.4
Manitoba,"Agriculture, foresterie, pêche et chasse [11]",0.0
Manitoba,"Arts, spectacles et loisirs [71]",6.1
Manitoba,Autres services (sauf les administrations publiques) [81],5.6
Manitoba,Commerce de détail [44-45],1.7
Manitoba,Commerce de gros [41],1.4
Manitoba,Construction [23],2.2
Manitoba,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",1.0
Manitoba,Fabrication [31-33],0.0
Manitoba,Finance et assurances [52],4.3
Manitoba,Industrie de l'information et industrie culturelle [51],5.9
Manitoba,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",1.6
Manitoba,Services d'hébergement et de restauration [72],2.2
Manitoba,Services immobiliers et services de location et de location à bail [53],8.8
Manitoba,"Services professionnels, scientifiques et techniques [54]",3.9
Manitoba,Soins de santé et assistance sociale [62],11.8
Manitoba,Transport et entreposage [48-49],2.2
New Brunswick,"Agriculture, foresterie, pêche et chasse [11]",0.0
New Brunswick,"Arts, spectacles et loisirs [71]",30.2
New Brunswick,Autres services (sauf les administrations publiques) [81],6.0
New Brunswick,Commerce de détail [44-45],2.3
New Brunswick,Commerce de gros [41],0.0
New Brunswick,Construction [23],0.0
New Brunswick,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",13.0
New Brunswick,Fabrication [31-33],2.8
New Brunswick,Finance et assurances [52],3.3
New Brunswick,Industrie de l'information et industrie culturelle [51],46.6
New Brunswick,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",1.0
New Brunswick,Services d'hébergement et de restauration [72],0.0
New Brunswick,Services immobiliers et services de location et de location à bail [53],6.4
New Brunswick,"Services professionnels, scientifiques et techniques [54]",24.0
New Brunswick,Soins de santé et assistance sociale [62],3.6
New Brunswick,Transport et entreposage [48-49],1.3
Newfoundland and Labrador,"Agriculture, foresterie, pêche et chasse [11]",0.0
Newfoundland and Labrador,"Arts, spectacles et loisirs [71]",8.5
Newfoundland and Labrador,Autres services (sauf les administrations publiques) [81],3.3
Newfoundland and Labrador,Commerce de détail [44-45],4.2
Newfoundland and Labrador,Commerce de gros [41],0.0
Newfoundland and Labrador,Construction [23],0.0
Newfoundland and Labrador,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",0.0
Newfoundland and Labrador,Fabrication [31-33],0.0
Newfoundland and Labrador,Finance et assurances [52],14.4
Newfoundland and Labrador,Industrie de l'information et industrie culturelle [51],10.1
Newfoundland and Labrador,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",0.3
Newfoundland and Labrador,Services d'hébergement et de restauration [72],2.4
Newfoundland and Labrador,Services immobiliers et services de location et de location à bail [53],8.9
Newfoundland and Labrador,"Services professionnels, scientifiques et techniques [54]",13.4
Newfoundland and Labrador,Soins de santé et assistance sociale [62],0.0
Newfoundland and Labrador,Transport et entreposage [48-49],2.4
Nova Scotia,"Agriculture, foresterie, pêche et chasse [11]",0.0
Nova Scotia,"Arts, spectacles et loisirs [71]",3.4
Nova Scotia,Autres services (sauf les administrations publiques) [81],4.2
Nova Scotia,Commerce de détail [44-45],0.0
Nova Scotia,Commerce de gros [41],6.7
Nova Scotia,Construction [23],0.0
Nova Scotia,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",0.0
Nova Scotia,Fabrication [31-33],3.6
Nova Scotia,Finance et assurances [52],20.1
Nova Scotia,Industrie de l'information et industrie culturelle [51],17.8
Nova Scotia,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",1.8
Nova Scotia,Services d'hébergement et de restauration [72],2.7
Nova Scotia,Services immobiliers et services de location et de location à bail [53],12.1
Nova Scotia,"Services professionnels, scientifiques et techniques [54]",20.2
Nova Scotia,Soins de santé et assistance sociale [62],8.7
Nova Scotia,Transport et entreposage [48-49],17.9
Ontario,"Agriculture, foresterie, pêche et chasse [11]",1.9
Ontario,"Arts, spectacles et loisirs [71]",4.9
Ontario,Autres services (sauf les administrations publiques) [81],0.5
Ontario,Commerce de détail [44-45],1.3
Ontario,Commerce de gros [41],5.6
Ontario,Construction [23],2.3
Ontario,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",3.6
Ontario,Fabrication [31-33],0.8
Ontario,Finance et assurances [52],14.3
Ontario,Industrie de l'information et industrie culturelle [51],16.3
Ontario,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",17.2
Ontario,Services d'hébergement et de restauration [72],0.2
Ontario,Services immobiliers et services de location et de location à bail [53],3.5
Ontario,"Services professionnels, scientifiques et techniques [54]",11.0
Ontario,Soins de santé et assistance sociale [62],6.0
Ontario,Transport et entreposage [48-49],2.4
Prince Edward Island,"Agriculture, foresterie, pêche et chasse [11]",0.0
Prince Edward Island,"Arts, spectacles et loisirs [71]",16.2
Prince Edward Island,Autres services (sauf les administrations publiques) [81],1.9
Prince Edward Island,Commerce de détail [44-45],3.4
Prince Edward Island,Commerce de gros [41],1.9
Prince Edward Island,Construction [23],0.0
Prince Edward Island,Fabrication [31-33],2.9
Prince Edward Island,Finance et assurances [52],1.9
Prince Edward Island,Industrie de l'information et industrie culturelle [51],15.1
Prince Edward Island,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",14.9
Prince Edward Island,Services d'hébergement et de restauration [72],2.0
Prince Edward Island,Services immobiliers et services de location et de location à bail [53],3.1
Prince Edward Island,"Services professionnels, scientifiques et techniques [54]",16.5
Prince Edward Island,Soins de santé et assistance sociale [62],6.2
Prince Edward Island,Transport et entreposage [48-49],0.5
Quebec,"Agriculture, foresterie, pêche et chasse [11]",0.0
Quebec,"Arts, spectacles et loisirs [71]",9.4
Quebec,Autres services (sauf les administrations publiques) [81],9.0
Quebec,Commerce de détail [44-45],11.7
Quebec,Commerce de gros [41],13.7
Quebec,Construction [23],2.2
Quebec,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",1.8
Quebec,Fabrication [31-33],11.2
Quebec,Finance et assurances [52],10.5
Quebec,Industrie de l'information et industrie culturelle [51],20.2
Quebec,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",2.2
Quebec,Services d'hébergement et de restauration [72],1.0
Quebec,Services immobiliers et services de location et de location à bail [53],20.9
Quebec,"Services professionnels, scientifiques et techniques [54]",26.9
Quebec,Soins de santé et assistance sociale [62],3.5
Quebec,Transport et entreposage [48-49],3.3
Saskatchewan,"Agriculture, foresterie, pêche et chasse [11]",0.0
Saskatchewan,"Arts, spectacles et loisirs [71]",20.9
Saskatchewan,Autres services (sauf les administrations publiques) [81],13.1
Saskatchewan,Commerce de détail [44-45],2.3
Saskatchewan,Commerce de gros [41],20.3
Saskatchewan,Construction [23],1.1
Saskatchewan,"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",2.1
Saskatchewan,Fabrication [31-33],0.0
Saskatchewan,Finance et assurances [52],6.3
Saskatchewan,Industrie de l'information et industrie culturelle [51],7.9
Saskatchewan,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",11.7
Saskatchewan,Services d'hébergement et de restauration [72],1.8
Saskatchewan,Services immobiliers et services de location et de location à bail [53],0.3
Saskatchewan,"Services professionnels, scientifiques et techniques [54]",14.3
Saskatchewan,Soins de santé et assistance sociale [62],6.2
Saskatchewan,Transport et entreposage [48-49],0.9
