province,severity_index,avg_temperature,unemployment_rate,total_tax_rate,cout_hebdomadaire_nourriture_par_personne,cout_hebdomadaire_autres_produits_par_personne,job_persecptive,communaute_latine,electricite_cents_kwh,essence_ordinaire_cents_litre,possibility_no_floods
Alberta,95.6,4.98,6.5,5.0,45.62,2.04,Moderate,66515.0,31.29,,97.8
British Columbia,93.0,10.6,6.4,12.0,45.67,2.02,Moderate,65965.0,12.4,,92.3
Manitoba,141.2,4.55,6.1,12.0,44.19,1.96,Undetermined,12835.0,11.74,,67.3
New Brunswick,84.5,6.56,6.6,15.0,43.86,1.95,Moderate,2455.0,16.8,,74.9
Newfoundland and Labrador,89.3,6.6,10.4,15.0,45.9,1.87,Undetermined,750.0,15.79,,100.0
Nova Scotia,75.5,8.01,6.7,14.0,44.32,1.96,Moderate,2910.0,19.19,,100.0
Ontario,60.7,8.95,7.3,13.0,42.89,1.88,Limited,249190.0,15.92,,96.0
Prince Edward Island,72.6,7.1,7.7,15.0,43.44,1.94,Undetermined,590.0,20.44,,100.0
Quebec,63.0,7.38,5.1,14.975,41.19,1.76,Limited,172920.0,8.98,,84.2
Saskatchewan,153.9,3.91,5.6,11.0,44.38,2.0,Moderate,5685.0,21.64,,100.0
